email_id,description
1,"Dear Mike Bode,Please have a look at case CASE-0036517 from 2/5/2022 9:39 AM.Our response to the customer is overdue.Case status:Assigned - Waiting for XIMEA Case title:Sales Inquiry - KoiReader Technologies  Customer:KoiReader Technologies Hemdeep Ray Case link:https://prod.ximea-group.com:443/main.aspx?etc=112&id=9934ca0b-5f86-ec11-9701-00155d0b2a0b&histKey=254763201&newWindow=true&pagetype=entityrecord-- This message was auto-generated --"
2,"Dear Mike Bode,Please have a look at case CASE-0036517 from 2/5/2022 9:39 AM.Our response to the customer is overdue.Case status:Assigned - Waiting for XIMEA Case title:Sales Inquiry - KoiReader Technologies  Customer:KoiReader Technologies Hemdeep Ray Case link:https://prod.ximea-group.com:443/main.aspx?etc=112&id=9934ca0b-5f86-ec11-9701-00155d0b2a0b&histKey=254763201&newWindow=true&pagetype=entityrecord-- This message was auto-generated --"
3,"Hello Mike,Thanks for your email and hope you are doing well. Could you please help me out with which conversation you are referring to? Unfortunately, there are several threads. I also believe Ash and Vivek provided Kevin with a detailed update last week on the cameras, usage, extensions, next 3 month plan, etc. through a call. Best Regards XIMEA // Waiting for your Response // CASE-0036517   [EXTERNAL]Hello Hemdeep, After sending you an answer to your last email regarding CASE-0036517, we are still waiting to hear from you. Your response would help us to provide you the best possible support. You can simply reply to this e-mail.To not bother you more than necessary, we will close this case if we do not hear from you in another seven days.Please don't hesitate to contact us in case of questions. We are looking forward to talk to you soon.Best regards"
4,"Hello Hemdeep, After sending you an answer to your last email regarding CASE-0036517, we are still waiting to hear from you. Your response would help us to provide you the best possible support. You can simply reply to this e-mail.To not bother you more than necessary, we will close this case if we do not hear from you in another seven days.Please don't hesitate to contact us in case of questions. We are looking forward to talk to you soon.Best regards"
5,"Hello Kevin & Mike,   My apologies, please ignore my previous email regarding the Lens order.   We do not require it anymore.              Regards Re: XIMEA // Your Reference Number CASE-0036517       Hello Kevin & Mike,     I am just following up on my earlier email. We need to purchase a 16mm Lens on an urgent basis.   Would you please initiate the process and share the details?            Regards Re: XIMEA // Your Reference Number CASE-0036517       Hello Kevin,    We need to purchase one 16mm Lens on an urgent basis. Would you please initiate the process as this high priority?    Look forward to your response.              Regards Re: XIMEA // Your Reference Number CASE-0036517       Hello Kevin,   I hope you are doing well.  We would like to order one 16mm Lens on an urgent basis as a loaner. Would you please initiate the process and share the details of the shipment with us?  Look forward to your response"
5,"We would like to order one 16mm Lens on an urgent basis as a loaner. Would you please initiate the process and share the details of the shipment with us?  Look forward to your response.             Regards Re: XIMEA // Your Reference Number CASE-0036517       Hello Kevin,   Thanks for the note and the update. I have asked the team on the way forward with the 12mm lens and the camera quotes (QUO-0011162)  sent earlier.    I will get back to you shortly. Meanwhile, I have asked Nicole if QUO-0011162 expiry can be put on hold for 24 hours while the team gets back to me.       Best Regards RE: XIMEA // Your Reference Number CASE-0036517   [EXTERNAL]   Hi Hemdeep, quote inbound and loans extended to July 8. For clarity, we have no cameras on order for you right now…       Re: XIMEA // Your Reference Number CASE-0036517     Kevin,   Slight change in the Lens quote due to some changes in requirement.    We will require  one Computar Lens – V1228-MPY2 – 1.1” 12mm F2"
5,"We will require  one Computar Lens – V1228-MPY2 – 1.1” 12mm F2.8 12 Megapixel (C Mount) Machine Vision Lens ASAP. Would be great if you could send us a revised Lens quote for only this based on the description.    Additionally, any light you can shed on the loaner extension would be helpful as well.       Best Regards Re: XIMEA // Your Reference Number CASE-0036517  Hello Kevin,   Thanks for the quotes. Meanwhile, based on Ash’s query, will it be possible to extend the current loaners for another 45 days till we procure addl. cameras?      Best Regards Re: XIMEA // Your Reference Number CASE-0036517  Thanks Kevin. We’re in the final leg for the first use case. If you can extend the loan by a month while we work on procuring additional cameras, that would be a great help.    To book a meeting: https://calendly"
5,"We’re in the final leg for the first use case. If you can extend the loan by a month while we work on procuring additional cameras, that would be a great help.    To book a meeting: https://calendly.com/koireader   --  Best Regards RE: XIMEA // Your Reference Number CASE-0036517   [EXTERNAL]   Hi Ashutosh, your loans have expired, but I can renew again if you need? Just let me know…   Kevin      Re: XIMEA // Your Reference Number CASE-0036517        Mike,       Correction. We’re using color camera with the 16mm lens currently, and need to secure 12mm lens as a loaner from your partner.         To book a meeting: https://calendly.com/koireader/       --     Best Regards Re: XIMEA // Your Reference Number CASE-0036517          Thanks Mike. To summarize, here’s our current configuration:     Monochrome camera is being used with 35mm lens. We’d like to source both camera and lens (2 units each) from you"
5,"To summarize, here’s our current configuration:     Monochrome camera is being used with 35mm lens. We’d like to source both camera and lens (2 units each) from you.Color camera is being used with 12mm lens currently, but we’d like to also try the 16mm lens and observe which one’s better. We’d like to source  the color camera from you and can work with the lens partner for a 16mm lens loaner for our testing (they loaned us the 12mm lens while we’re establishing a reseller relationship).  We’d need cables and mounts for all three cameras.         To book a meeting: https://calendly.com/koireader/       --     Best Regards RE: XIMEA // Your Reference Number CASE-0036517         [EXTERNAL]    Hi Ash,   I should be able to give you a few prices for lenses in a couple of days.   Let me do the following: I’ll separate out the quote for the lenses and send you the quote for the rest. Then follow up with information  about the lenses when I have it"
5,"Let me do the following: I’ll separate out the quote for the lenses and send you the quote for the rest. Then follow up with information  about the lenses when I have it.   PoE: I assume you are talking about Power over Ethernet. That actually does not apply to the cameras, as they are not Ethernet cameras.  However, the cameras are powered over the USB3 connection (or the PCIe connection, depending on which version you use). So there is no need to supply them with power separately. If you use multiple cameras with a switch, you  will need a power supply for the  switch, the built-in power from the PCIe subsystem or USB3 subsystem is normally not sufficient to support multiple cameras. For USB3 the maximum power that can be drawn through the cable is 5W, and some cameras get close to that, so that multiple cameras  would exceed that.   Mike      Re: XIMEA // Your Reference Number CASE-0036517        Thanks Mike. That’d work"
5,"Mike      Re: XIMEA // Your Reference Number CASE-0036517        Thanks Mike. That’d work.        For the color camera, we sourced lens from the partner you’d introduced. If you can provide us quote for the lens we used with the monochrome camera for the conveyer  belt use case, we can procure color camera lens directly from your partner as we did in the past for other use cases.       Additionally, is there a PoE version of these cameras for production deployment?         To book a meeting: https://calendly.com/koireader/       --    Best Regards RE: XIMEA // Your Reference Number CASE-0036517         [EXTERNAL]    Of course. I am trying to get some prices for lenses. You have lenses that are wither not designed for the 12 MPix  cameras, or that are very expensive. I am currently  talking to our vendors to see what we can do about that. If you prefer, I can quote the lenses that we sent you"
